B

       2                41            38          41        27        38       18     13       32       32      30     26     25     29     27    25    14    23    10    7     17     14    18    11    14    11   12   17   13   11    9    8    21    18   18   21   17   19   15   19   16  15  15  14  15  12   3   4    8  10   7   6   8   7   3   14   10   14   13   11  10  13  11  12  10   8  11   9   7  10  10  10   9   7   5   3    8   5   5   8   8   4   3  12  12  11  11  11  10   8   8   2   4   3   4   4   3   3   1   9   5   7   9   6   7   5   4   5   4   2   2   3   1   1   8   8   8   8   8   6   8   6   6   6   6   6   5   5   .   3   2   .   6   6   5   5   4   4   3   3   4   4   3   2   2   .   .   7   7   7   7   1   2   2   2   1   3   3   2   1   .   6   6   5   4   3   2   2   2   2   1   1   .   .   5   5   2   .   4   4   3   3   2   1   1
       3                13             9           6         6         5       10     13        2        6       3      4      4      2      2     2     3     1     2    1      7      7     5     9     5     5    6    4    5    5    6    2     3     2    2    1    2    1    2    .    1   1   1   .   .   1   7   6    2   1   2   1   1   1   1    5    6    2    4    3   3   2   3   2   3   4   2   3   4   2   2   2   1   2   3   1    2   1   1   .   .   2   1   1   1   .   .   .   .   .   .   .   4   4   3   3   3   3   .   1   .   .   .   1   .   1   .   .   .   2   1   .   .   .   2   2   2   2   2   3   1   2   2   1   1   1   1   1   .   .   .   3   .   .   .   .   .   2   2   2   1   1   1   1   1   .   .   .   .   .   .   1   .   .   .   .   3   2   2   .   1   .   .   .   .   .   2   1   1   .   .   .   .   .   1   1   .   .   .   .   1   1   1   1   .
       5                 6             2           3         2         2        2      1        3        1       .      1      1      1      1     .     2     1     4    6      1      2     1     .     1     1    1    .    1    .    .    1     .     1    1    .    1    .    1    .    .   .   .   1   .   .   .   .    2   2   2   3   2   2   1    .    .    1    .    1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    1   .   .   .   .   2   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   2   3   2   1   1   1   1   2   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   2   .   .   .   .   .   .   .   .   2   1   1   1   1   1   1   1   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   1   1   1   1   1   .   .   .   .   .   .   .   .   .   .   .   1   .   .   1   1   1   .   1
       7                 2             2           1         2         1        1      .        1        1       1      1      1      .      .     .     .     .     1    .      1      1     .     .     .     1    .    .    .    .    .    2     1     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    1   .   .   .   .   .   .    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    2   2   2   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   1   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   1   1   1   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   1
      11                 1             1           1         .         .        1      .        1        .       .      .      .      .      .     .     .     .     1    .      1      .     .     .     .     .    .    .    .    .    .    .     .     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    .   .   .   .   .   .   1    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   1   .   .   .   .   .   1   .
      13                 1             1           .         1         .        1      .        .        .       .      .      .      .      .     .     1     .     .    .      .      .     .     .     .     .    .    .    .    .    .    .     .     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    .   .   .   .   .   .   .    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .
      17                 1             1           .         1         .        .      .        .        .       .      .      .      .      .     .     .     .     .    .      .      .     .     .     .     .    .    .    .    .    .    .     .     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    .   .   .   .   .   .   .    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .
      19                 1             1           .         .         .        .      .        .        .       .      .      .      .      .     .     .     .     .    .      .      .     .     .     .     .    .    .    .    .    .    .     .     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    .   .   .   .   .   .   .    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .
      23                 1             .           1         .         .        .      .        .        .       .      .      .      .      .     .     .     .     .    .      .      .     .     .     .     .    .    .    .    .    .    .     .     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    .   .   .   .   .   .   .    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .
      31                 1             .           .         .         .        .      .        .        .       .      .      .      .      .     .     .     .     .    .      .      .     .     .     .     .    .    .    .    .    .    .     .     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    .   .   .   .   .   .   .    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .
      47                 1             .           .         .         .        .      .        .        .       .      .      .      .      .     .     .     .     .    .      .      .     .     .     .     .    .    .    .    .    .    .     .     .    .    .    .    .    .    .    .   .   .   .   .   .   .   .    .   .   .   .   .   .   .    .    .    .    .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .
